0.ID,1.name,2.filename,3.yomi,4.player,5.space
13,貴方は私を二度殺すのね,scenario/Nidokoro.html,あ,4,
30,雨の日のタクシー,scenario/Rain_taxi.html,あ,1,
33,アジサイ喫茶店,scenario/Ajisai_cafe.html,あ,1,
47,アイリスからの恋文,scenario/Iris.html,あ,1,
69,雨降らしの蝶,scenario/Amefura.html,あ,4,
74,愛飢ゑヲワル,scenario/Aiueo.html,あ,1+2,
108,愛罠蜂,scenario/IwannaBee.html,あ,2,
117,AND/HAND,scenario/AND_HAND.html,あ,2,
56,芋虫。,scenario/Imomushi.html,い,1,
128,いつか王子様が,scenario/Itsu_O.html,い,2,
38,海も枯れるまで,scenario/Umi_kare.html,う,2,
57,宇宙船ニル・ノート号の残響,scenario/Niruno-to.html,う,3,
58,ヴェルネの天使は死を歌う,scenario/Vernet.html,う,3,
115,うえからでられない,scenario/Uekara.html,う,1,
124,裏切り者のワルツ,scenario/Ura_Waru.html,う,3,
6,n回目の初演,scenario/N_kaime.html,え,4,
12,英雄たちのフェルンヴェー,scenario/Fernweh.html,え,1,
97,Oh# My Baby,scenario/Oh_my_baby.html,お,2,
22,壊胎,scenario/Kaitai.html,か,2,
24,カタシロ,scenario/Katashiro.html,か,1,
35,傀逅,scenario/Kaikou.html,か,2,
51,カタシロアナザー,scenario/Katashiro_another.html,か,1,
119,蛾と踊る,scenario/Dance_with_ga.html,か,3,
134,彼方からの君に捧ぐ,scenario/Kana_kimi.html,か,4,
25,棄教,scenario/Kikyou.html,き,4,
71,キルキルイキル,scenario/Kill_Ikill.html,き,2,
73,奇奇怪怪同好会,scenario/Kikikaikai.html,き,3,
125,君に似合う色をあげる,scenario/Kimi_Iro.html,き,2,
1,紅の幻想,scenario/Kurenai.html,く,4,
81,Good Morning# ALL,scenario/GMA.html,く,2,
86,検証A,scenario/KenshoA.html,け,1,
110,ゲームマスターKPC,scenario/GM_KPC.html,け,3,
7,コマドリの葬列,scenario/Komadori.html,こ,4,
20,混沌を運ぶ者,scenario/Chaos_driver.html,こ,5,
36,豪華客船と怪盗団,scenario/Kaitoudan.html,こ,4,
42,極楽浄土に棲む魚ver上司,scenario/Paradise_boss.html,こ,2,
43,極楽浄土に棲む魚ver創造主,scenario/Paradise_creator.html,こ,1+2,
72,辜月のN,scenario/Kogetsu.html,こ,2,
79,獄夜を歩くぼくら,scenario/Gokuya.html,こ,1+2,
11,殺人 趣味レーター,scenario/Shumilator.html,さ,1,
40,再上映,scenario/Sai_Jyouei.html,さ,1,
50,さよならの向こう側,scenario/Beyond_sayonara.html,さ,2,
75,サイレン清掃会社,scenario/Siren_clean.html,さ,4,
91,桜狂わば胎の中,scenario/Sakura_hara.html,さ,4,
10,祝祭,scenario/Shukusai.html,し,4,
44,シュガーレス・ハッピーバレンタイン,scenario/Sugarless.html,し,5,
62,死体は夏に向いていない,scenario/Shitai_natsu.html,し,1,
68,ジャンヌの猟犬,scenario/JanKen.html,し,4,
84,蹂躙するは我が手にて,scenario/Jurin.html,し,4,
102,死を望まれた子供,scenario/Dead_child.html,し,3,
112,執着針,scenario/Shuchakusin.html,し,1,
116,事象地平のアストロナウト,scenario/Astronaut.html,し,3,
121,週末は探偵事務所にて,scenario/Shumatsu_tantei.html,し,4,
8,スモーキンバラッド,scenario/Smoking_ballad.html,す,4,
39,沼男は誰だ？,scenario/Swampman.html,す,4,
77,素晴らしき新年,scenario/Amazing_NY.html,す,1+2,
89,好きなことで、生きていく,scenario/Suki_koto.html,す,4,
118,ステガノグラフィ,scenario/Steganography.html,す,2,
41,セーラー服を脱がさないで,scenario/Sailor.html,せ,5,
101,刹夏,scenario/Setsuna.html,せ,2,
132,先生,scenario/Sensei.html,せ,1,
15,その随に君を呼ぶ,scenario/Zui_kimi.html,そ,1,
46,ソープスクール,scenario/Soup_Sch.html,そ,4,
130,そうだ、キョウトとやらに行こう。,scenario/lets_go_Kyoto.html,そ,3,
14,太古の座敷牢,scenario/Zashikirou.html,た,3,
23,探索者ピックアップガチャ,scenario/PUG.html,た,4,
80,脱獄は乙女の嗜み,scenario/Datsu_Oto.html,た,3+4,
82,たたら,scenario/Tatara.html,た,1+2,
98,誰かが死んでいる,scenario/Dareshi.html,た,4,
105,正しい死体の屠り方,scenario/Tada_hofu.html,た,2,
106,奪還は乙女の嗜み,scenario/Dakkan_Oto.html,た,3,
107,ꙮ-多眼のO-,scenario/Tagan_O.html,た,3,
31,チョコレートコスモス,scenario/Chocosmos.html,ち,1,
45,チョコレイトはいかが？,scenario/How_choco.html,ち,4,
95,地を這う標,scenario/Chiwohau.html,ち,1,
17,デッドレックエンコード,scenario/Dead_rec.html,て,3,
55,デッドマンズエスケイプショウ,scenario/DES.html,て,5,
76,デウス・エクス・マキナは死んだ,scenario/Deshi.html,て,2,
96,Dの信仰,scenario/DnoShinkou.html,て,3,
34,とある幸せな家族の話,scenario/Toashi.html,と,4,
53,同居人,scenario/Dokyonin.html,と,2,
103,ドロップアウトディスパイア,scenario/Drodis.html,と,2,
129,都市伝説課おまけシナリオ,scenario/Toshiden_omake.html,と,2,
131,トーキョーχスクランブルエッグ,scenario/Tosuku.html,と,3,
5,なつまつり,scenario/NatsuFes.html,な,4,
37,庭師は何を口遊む,scenario/Niwashi.html,に,4,
67,にじさんじミステリー【消えた緑仙の謎】,scenario/Ryushen.html,に,4,
52,NOBODY*2,scenario/NobaNoba.html,の,4,
54,NOBODY学園,scenario/Noba_Gaku.html,の,4,
87,ノアの感情論,scenario/Noah_emotion.html,の,1,
2,ハロウィンワンナイトクルーズ,scenario/Halloween_cruise.html,は,4,
3,はらぺこあおむし,scenario/Harapeko.html,は,4,
26,果てにて,scenario/Hatenite.html,は,1+2,
28,孕む緑と愛を視よ,scenario/Haramu_green.html,は,1,
32,薄明,scenario/Hakumei.html,は,1,
63,Bye-Bye Summer Days,scenario/Bye-sama.html,は,4,
66,灰になってよかった,scenario/Hai_Yoka.html,は,1,
94,初恋性ストックホルム症候群,scenario/Hatsukoisei.html,は,1,
104,花冷えに亡く季節,scenario/Hanahie.html,は,2,
126,HO1とHO2が箱に詰められるだけ,scenario/Hako_Zume.html,は,2,
133,胎む六月の果実,scenario/Fruit_June.html,は,1,
21,Because# Baby# I love you.,scenario/BB-ILY.html,ひ,4,
65,火点し頃の蜘蛛踊り,scenario/Hitomoshi.html,ひ,4,
92,ＨＩＲＡＥＴＨ,scenario/HIRAETH.html,ひ,2,
123,秘密と内証,scenario/Secret.html,ひ,1,
49,プリズム,scenario/Prism.html,ふ,1,
127,不辜のサァカス ナイフノモツレ,scenario/Kasu_Motsu.html,ふ,4,
99,片鱗,scenario/Henrin.html,へ,2,
18,white room-矛盾本能-,scenario/Mujun-Honnou.html,ほ,5,
61,ぼくとかみさまのなつやすみ,scenario/Boku_Kami.html,ほ,2,
78,VOID,scenario/VOID.html,ほ,4,
88,紡命論とシンギュラリティ,scenario/Singularity.html,ほ,4,
